Date,Gold_Price,Crude_Oil,Inflation,Interest_Rate,USD_EUR,USD_JPY,SLV,^GSPC
2023-09-26,176.27999877929688,93.72,307.374,5.33,1.0573,148.9,20.959999084472656,4273.52978515625
2023-09-27,174.10000610351562,93.72,307.374,5.33,1.051,149.48,20.700000762939453,4274.509765625
2023-09-28,173.22999572753906,93.72,307.374,5.33,1.0578,149.18,20.739999771118164,4299.7001953125
2023-09-29,171.4499969482422,93.72,307.374,5.33,1.0584,149.43,20.34000015258789,4288.0498046875
2023-10-02,169.64999389648438,90.6,307.653,5.33,1.05,149.8,19.420000076293945,4288.39013671875
2023-10-03,169.16000366210938,90.6,307.653,5.33,1.0453,149.16,19.440000534057617,4229.4501953125
2023-10-04,169.13999938964844,90.6,307.653,5.33,1.0518,148.83,19.309999465942383,4263.75
2023-10-05,168.8300018310547,90.6,307.653,5.33,1.0527,148.49,19.25,4258.18994140625
2023-10-06,169.6999969482422,90.6,307.653,5.33,1.0596,149.08,19.729999542236328,4308.5
2023-10-09,172.82000732421875,90.6,307.653,5.33,1.0596,149.08,20.059999465942383,4335.66015625
2023-10-10,172.52999877929688,90.6,307.653,5.33,1.0618,148.62,19.979999542236328,4358.240234375
2023-10-11,173.7899932861328,90.6,307.653,5.33,1.062,149.17,20.18000030517578,4376.9501953125
2023-10-12,173.25999450683594,90.6,307.653,5.33,1.0553,149.71,19.959999084472656,4349.60986328125
2023-10-13,178.8300018310547,90.6,307.653,5.33,1.0502,149.62,20.780000686645508,4327.77978515625
2023-10-16,177.9600067138672,90.6,307.653,5.33,1.0546,149.57,20.68000030517578,4373.6298828125
2023-10-17,178.2899932861328,90.6,307.653,5.33,1.0593,149.71,20.920000076293945,4373.2001953125
2023-10-18,180.8699951171875,90.6,307.653,5.33,1.0532,149.86,20.950000762939453,4314.60009765625
2023-10-19,183.08999633789065,90.6,307.653,5.33,1.057,149.92,21.110000610351562,4278.0
2023-10-20,183.58999633789065,90.6,307.653,5.33,1.0592,149.85,21.399999618530273,4224.16015625
2023-10-23,182.97000122070312,90.6,307.653,5.33,1.0646,149.78,21.049999237060547,4217.0400390625
2023-10-24,182.9499969482422,90.6,307.653,5.33,1.0595,149.84,21.020000457763672,4247.68017578125
2023-10-25,183.72000122070312,90.6,307.653,5.33,1.0583,149.94,20.940000534057617,4186.77001953125
2023-10-26,184.00999450683597,90.6,307.653,5.33,1.0532,150.44,20.850000381469727,4137.22998046875
2023-10-27,186.1499938964844,90.6,307.653,5.33,1.0592,149.6,21.18000030517578,4117.3701171875
2023-10-30,185.1000061035156,90.6,307.653,5.33,1.062,149.01,21.34000015258789,4166.81982421875
2023-10-31,184.08999633789065,90.6,307.653,5.33,1.0568,151.46,20.979999542236328,4193.7998046875
2023-11-01,183.50999450683597,82.94,308.087,5.33,1.0538,150.96,20.969999313354492,4237.85986328125
2023-11-02,184.1199951171875,82.94,308.087,5.33,1.0618,150.48,20.8700008392334,4317.77978515625
2023-11-03,184.7899932861328,82.94,308.087,5.33,1.0733,149.36,21.219999313354492,4358.33984375
2023-11-06,183.3500061035156,82.94,308.087,5.33,1.0747,149.77,21.079999923706055,4365.97998046875
2023-11-07,182.58999633789065,82.94,308.087,5.33,1.0687,150.47,20.729999542236328,4378.3798828125
2023-11-08,180.7700042724609,82.94,308.087,5.33,1.0715,150.77,20.649999618530273,4382.77978515625
2023-11-09,181.4900054931641,82.94,308.087,5.33,1.071,151.04,20.690000534057617,4347.35009765625
2023-11-10,179.50999450683594,82.94,308.087,5.33,1.071,151.04,20.34000015258789,4415.240234375
2023-11-13,180.50999450683597,82.94,308.087,5.33,1.07,151.56,20.43000030517578,4411.5498046875
2023-11-14,182.1199951171875,82.94,308.087,5.33,1.0861,150.75,21.170000076293945,4495.7001953125
2023-11-15,181.63999938964844,82.94,308.087,5.33,1.0853,151.07,21.450000762939453,4502.8798828125
2023-11-16,183.69000244140625,82.94,308.087,5.33,1.0851,150.59,21.760000228881836,4508.240234375
2023-11-17,183.6699981689453,82.94,308.087,5.33,1.0879,149.82,21.75,4514.02001953125
2023-11-20,183.3699951171875,82.94,308.087,5.33,1.0945,148.26,21.479999542236328,4547.3798828125
2023-11-21,185.3500061035156,82.94,308.087,5.33,1.0923,147.88,21.770000457763672,4538.18994140625
2023-11-22,184.55999755859372,82.94,308.087,5.33,1.0871,149.67,21.670000076293945,4556.6201171875
2023-11-24,185.5200042724609,82.94,308.087,5.33,1.0934,149.57,22.270000457763672,4559.33984375
2023-11-27,186.7700042724609,82.94,308.087,5.33,1.0937,148.89,22.559999465942383,4550.43017578125
2023-11-28,189.25999450683597,82.94,308.087,5.33,1.1007,147.41,22.920000076293945,4554.89013671875
2023-11-29,189.5399932861328,82.94,308.087,5.33,1.0969,147.39,22.8799991607666,4550.580078125
2023-11-30,188.75,82.94,308.087,5.33,1.0908,147.87,23.1299991607666,4567.7998046875
2023-12-01,192.00999450683597,77.63,308.735,5.33,1.0878,147.0,23.329999923706055,4594.6298828125
2023-12-04,187.8600006103516,77.63,308.735,5.33,1.0824,147.15,22.459999084472656,4569.77978515625
2023-12-05,187.1499938964844,77.63,308.735,5.33,1.0787,147.26,22.1200008392334,4567.18017578125
2023-12-06,187.83999633789065,77.63,308.735,5.33,1.079,147.16,21.93000030517578,4549.33984375
2023-12-07,188.1499938964844,77.63,308.735,5.33,1.0794,144.1,21.790000915527344,4585.58984375
2023-12-08,185.63999938964844,77.63,308.735,5.33,1.0746,144.88,21.100000381469727,4604.3701171875
2023-12-11,183.58999633789065,77.63,308.735,5.33,1.0747,146.41,20.90999984741211,4622.43994140625
2023-12-12,183.4900054931641,77.63,308.735,5.33,1.079,145.45,20.84000015258789,4643.7001953125
2023-12-13,187.6300048828125,77.63,308.735,5.33,1.0793,145.17,21.770000457763672,4707.08984375
2023-12-14,188.72999572753903,77.63,308.735,5.33,1.0997,141.53,22.149999618530273,4719.5498046875
2023-12-15,187.0,77.63,308.735,5.33,1.0906,141.8,21.829999923706055,4719.18994140625
2023-12-18,187.8500061035156,77.63,308.735,5.33,1.092,143.04,21.799999237060547,4740.56005859375
2023-12-19,189.1300048828125,77.63,308.735,5.33,1.0977,143.62,22.030000686645508,4768.3701171875
2023-12-20,188.1000061035156,77.63,308.735,5.33,1.0957,143.77,22.040000915527344,4698.35009765625
2023-12-21,189.42999267578125,77.63,308.735,5.33,1.099,142.16,22.309999465942383,4746.75
2023-12-22,190.2700042724609,77.63,308.735,5.33,1.1008,142.6,22.1200008392334,4754.6298828125
2023-12-26,191.72000122070312,77.63,308.735,5.33,1.1035,142.48,22.200000762939453,4774.75
2023-12-27,192.58999633789065,77.63,308.735,5.33,1.1114,142.05,22.229999542236328,4781.580078125
2023-12-28,191.47000122070312,77.63,308.735,5.33,1.1073,141.08,21.989999771118164,4783.35009765625
2023-12-29,191.1699981689453,77.63,308.735,5.33,1.1062,140.92,21.780000686645508,4769.830078125
2024-01-02,190.72000122070312,80.12,309.794,5.33,1.0957,141.89,21.649999618530273,4742.830078125
2024-01-03,189.1300048828125,80.12,309.794,5.33,1.0909,143.55,21.059999465942383,4704.81005859375
2024-01-04,189.32000732421875,80.12,309.794,5.33,1.0957,144.59,21.079999923706055,4688.68017578125
2024-01-05,189.3500061035156,80.12,309.794,5.33,1.0957,144.52,21.209999084472656,4697.240234375
2024-01-08,187.8699951171875,80.12,309.794,5.33,1.0976,143.89,21.1299991607666,4763.5400390625
2024-01-09,187.92999267578125,80.12,309.794,5.33,1.0935,144.35,21.0,4756.5
2024-01-10,187.5,80.12,309.794,5.33,1.096,145.68,20.940000534057617,4783.4501953125
2024-01-11,187.8699951171875,80.12,309.794,5.33,1.0943,146.03,20.81999969482422,4780.240234375
2024-01-12,189.7100067138672,80.12,309.794,5.33,1.0959,144.86,21.190000534057617,4783.830078125
2024-01-16,187.91000366210935,80.12,309.794,5.33,1.0882,147.01,20.959999084472656,4765.97998046875
2024-01-17,185.83999633789065,80.12,309.794,5.33,1.0858,148.39,20.649999618530273,4739.2099609375
2024-01-18,187.3699951171875,80.12,309.794,5.33,1.0863,148.15,20.809999465942383,4780.93994140625
2024-01-19,187.92999267578125,80.12,309.794,5.33,1.0887,148.21,20.670000076293945,4839.81005859375
2024-01-22,187.22000122070312,80.12,309.794,5.33,1.0895,147.95,20.219999313354492,4850.43017578125
2024-01-23,187.9499969482422,80.12,309.794,5.33,1.0829,148.55,20.530000686645508,4864.60009765625
2024-01-24,186.3999938964844,80.12,309.794,5.33,1.0901,147.31,20.709999084472656,4868.5498046875
2024-01-25,187.13999938964844,80.12,309.794,5.33,1.0837,147.69,20.940000534057617,4894.16015625
2024-01-26,187.00999450683597,80.12,309.794,5.33,1.0866,147.94,20.860000610351562,4890.97021484375
2024-01-29,188.3300018310547,80.12,309.794,5.33,1.0807,147.65,21.209999084472656,4927.93017578125
2024-01-30,188.58999633789065,80.12,309.794,5.33,1.0844,147.71,21.190000534057617,4924.97021484375
2024-01-31,188.4499969482422,80.12,309.794,5.33,1.0855,146.26,20.90999984741211,4845.64990234375
2024-02-01,190.41000366210935,83.48,311.022,5.33,1.0865,146.18,21.209999084472656,4906.18994140625
2024-02-02,188.6100006103516,83.48,311.022,5.33,1.0787,148.54,20.75,4958.60986328125
2024-02-05,187.57000732421875,83.48,311.022,5.33,1.0736,148.79,20.469999313354492,4942.81005859375
2024-02-06,188.5500030517578,83.48,311.022,5.33,1.0751,148.03,20.510000228881836,4954.22998046875
2024-02-07,188.5,83.48,311.022,5.33,1.0769,148.04,20.329999923706055,4995.06005859375
2024-02-08,188.3300018310547,83.48,311.022,5.33,1.0774,149.25,20.649999618530273,4997.91015625
2024-02-09,187.6000061035156,83.48,311.022,5.33,1.0782,149.38,20.68000030517578,5026.60986328125
2024-02-12,187.1100006103516,83.48,311.022,5.33,1.0774,149.37,20.760000228881836,5021.83984375
2024-02-13,184.52999877929688,83.48,311.022,5.33,1.072,150.72,20.200000762939453,4953.169921875
2024-02-14,184.4199981689453,83.48,311.022,5.33,1.0735,150.5,20.440000534057617,5000.6201171875
2024-02-15,185.66000366210935,83.48,311.022,5.33,1.0761,150.19,20.940000534057617,5029.72998046875
2024-02-16,186.33999633789065,83.48,311.022,5.33,1.0769,150.34,21.389999389648438,5005.56982421875
2024-02-20,187.47000122070312,83.48,311.022,5.33,1.0814,149.87,21.06999969482422,4975.509765625
2024-02-21,187.47999572753903,83.48,311.022,5.33,1.0818,150.29,20.959999084472656,4981.7998046875
2024-02-22,187.55999755859372,83.48,311.022,5.33,1.0815,150.62,20.81999969482422,5087.02978515625
2024-02-23,188.6199951171875,83.48,311.022,5.33,1.0828,150.36,20.989999771118164,5088.7998046875
2024-02-26,188.1999969482422,83.48,311.022,5.33,1.0855,150.79,20.6200008392334,5069.52978515625
2024-02-27,188.0,83.48,311.022,5.33,1.0857,150.46,20.56999969482422,5078.18017578125
2024-02-28,188.33999633789065,83.48,311.022,5.33,1.0843,150.68,20.549999237060547,5069.759765625
2024-02-29,189.30999755859372,83.48,311.022,5.33,1.0807,149.9,20.729999542236328,5096.27001953125
2024-03-01,192.88999938964844,85.41,312.107,5.33,1.0832,150.2,21.170000076293945,5137.080078125
2024-03-04,196.00999450683597,85.41,312.107,5.33,1.0862,150.44,21.860000610351562,5130.9501953125
2024-03-05,197.19000244140625,85.41,312.107,5.33,1.0861,150.14,21.670000076293945,5078.64990234375
2024-03-06,198.80999755859372,85.41,312.107,5.33,1.0913,149.17,22.100000381469727,5104.759765625
2024-03-07,199.94000244140625,85.41,312.107,5.33,1.0941,148.08,22.239999771118164,5157.35986328125
2024-03-08,201.6300048828125,85.41,312.107,5.33,1.0941,147.17,22.229999542236328,5123.68994140625
2024-03-11,202.0,85.41,312.107,5.33,1.0928,146.86,22.350000381469727,5117.93994140625
2024-03-12,199.7899932861328,85.41,312.107,5.33,1.0918,147.69,22.09000015258789,5175.27001953125
2024-03-13,201.19000244140625,85.41,312.107,5.33,1.0944,147.73,22.790000915527344,5165.31005859375
2024-03-14,200.3500061035156,85.41,312.107,5.33,1.0888,148.19,22.729999542236328,5150.47998046875
2024-03-15,199.7100067138672,85.41,312.107,5.33,1.0888,149.14,23.030000686645508,5117.08984375
2024-03-18,200.02999877929688,85.41,312.107,5.33,1.0886,149.13,22.90999984741211,5149.419921875
2024-03-19,199.8000030517578,85.41,312.107,5.33,1.0859,150.73,22.790000915527344,5178.509765625
2024-03-20,202.17999267578125,85.41,312.107,5.33,1.0856,151.66,23.290000915527344,5224.6201171875
2024-03-21,201.97000122070312,85.41,312.107,5.33,1.0861,151.59,22.649999618530273,5241.52978515625
2024-03-22,200.3500061035156,85.41,312.107,5.33,1.0817,151.35,22.559999465942383,5234.18017578125
2024-03-25,200.9900054931641,85.41,312.107,5.33,1.0837,151.42,22.579999923706055,5218.18994140625
2024-03-26,201.63999938964844,85.41,312.107,5.33,1.0829,151.58,22.34000015258789,5203.580078125
2024-03-27,203.1000061035156,85.41,312.107,5.33,1.0821,151.35,22.510000228881836,5248.490234375
2024-03-28,205.72000122070312,85.41,312.107,5.33,1.0801,151.35,22.75,5254.35009765625
2024-04-01,207.82000732421875,89.94,313.016,5.33,1.0733,151.72,22.860000610351562,5243.77001953125
2024-04-02,210.88999938964844,89.94,313.016,5.33,1.0769,151.55,23.84000015258789,5205.81005859375
2024-04-03,212.7400054931641,89.94,313.016,5.33,1.0827,151.67,24.729999542236328,5211.490234375
2024-04-04,211.5200042724609,89.94,313.016,5.33,1.0865,151.66,24.489999771118164,5147.2099609375
